2024-12-06T11:21:28.003776 | Position: 55.471538, 10.324288, 53.42 m | Raw Position: 55.471538, 10.324288, 53.42 m | RSSI: -41.2 | Remote RSSI: -40.7
2024-12-06T11:21:29.004005 | Position: 55.471538, 10.324288, 53.41 m | Raw Position: 55.471538, 10.324288, 53.32 m | RSSI: -44.4 | Remote RSSI: -39.6
2024-12-06T11:21:30.003749 | Position: 55.471538, 10.324288, 53.36 m | Raw Position: 55.471538, 10.324288, 53.27 m | RSSI: -44.9 | Remote RSSI: -45.4
2024-12-06T11:21:31.004050 | Position: 55.471538, 10.324288, 53.33 m | Raw Position: 55.471538, 10.324288, 53.15 m | RSSI: -48.6 | Remote RSSI: -48.6
2024-12-06T11:21:32.003897 | Position: 55.471538, 10.324288, 53.22 m | Raw Position: 55.471538, 10.324288, 53.03 m | RSSI: -44.9 | Remote RSSI: -48.6
2024-12-06T11:21:33.003855 | Position: 55.471538, 10.324288, 53.17 m | Raw Position: 55.471537, 10.324288, 52.96 m | RSSI: -51.7 | Remote RSSI: -50.7
2024-12-06T11:21:34.003969 | Position: 55.471538, 10.324288, 53.17 m | Raw Position: 55.471537, 10.324288, 52.84 m | RSSI: -50.7 | Remote RSSI: -50.2
2024-12-06T11:21:35.004019 | Position: 55.471537, 10.324288, 52.95 m | Raw Position: 55.471536, 10.324288, 52.73 m | RSSI: -47.5 | Remote RSSI: -44.9
2024-12-06T11:21:36.003757 | Position: 55.471537, 10.324288, 52.84 m | Raw Position: 55.471536, 10.324288, 52.63 m | RSSI: -58.1 | Remote RSSI: -58.1
2024-12-06T11:21:37.003792 | Position: 55.471536, 10.324288, 52.73 m | Raw Position: 55.471536, 10.324288, 52.53 m | RSSI: -42.3 | Remote RSSI: -43.8
2024-12-06T11:21:38.003769 | Position: 55.471536, 10.324288, 52.63 m | Raw Position: 55.471535, 10.324288, 52.51 m | RSSI: -40.7 | Remote RSSI: -40.2
2024-12-06T11:21:39.003739 | Position: 55.471535, 10.324288, 52.55 m | Raw Position: 55.471535, 10.324287, 52.43 m | RSSI: -45.4 | Remote RSSI: -44.9
2024-12-06T11:21:40.003782 | Position: 55.471535, 10.324288, 52.55 m | Raw Position: 55.471535, 10.324287, 52.38 m | RSSI: -51.2 | Remote RSSI: -44.9
